DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,NINEFECHA,AFIA MAGASIN,1,258.0,CM2
KEDOUGOU,NINEFECHA,ASSONY,1,254.0,CLASSE CE2
KEDOUGOU,NINEFECHA,BARABOYE,1,421.0,CLASSE CP
KEDOUGOU,NINEFECHA,DONGOLNIALBI,1,360.0,CLASSE CE 2
KEDOUGOU,NINEFECHA,HAMDALLAYE,1,280.0,CM1
KEDOUGOU,NINEFECHA,KESSEMA,1,254.0,ABRI PROVISOIRE
KEDOUGOU,NINEFECHA,NAMEL,1,121.0,CM1
KEDOUGOU,NINEFECHA,NDEBOU BANDE,1,185.0,CM2
KEDOUGOU,NINEFECHA,NINEFECHA,1,448.0,CM2
KEDOUGOU,NINEFECHA,THIARMALEL,1,118.0,CLASSE CI
KEDOUGOU,NINEFECHA,WOURIDIE,1,206.0,CM2
