DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,1,563.0,CLASSE CM2B
KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,2,564.0,SALLE DE CLASSE CM2A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,1,563.0,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,2,570.0,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,3,560.0,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,4,426.0,CLASSE CE1 B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,1,524.0,CLASSE CP A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,2,528.0,CLASSE CP B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,3,525.0,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,4,505.0,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,5,505.0,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,1,581.0,CLASSE CE2 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,2,579.0,CLASSE CE2 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,3,577.0,CLASSE CM1 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,4,579.0,CLASSE CM1 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,5,584.0,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,6,580.0,CLASSE CE1 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,7,576.0,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,8,454.0,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,1,599.0,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,2,594.0,CLASSE CI B
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,3,598.0,CLASSE CI A
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,4,598.0,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE KENIOTO PEULH,1,380.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,1,585.0,CLASSE CI A
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,2,582.0,CLASSE CI B
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,3,584.0,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,4,105.0,CLASSE CP B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,1,564.0,CLASSE CM1 A
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,2,559.0,CLASSE CM1 B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,3,538.0,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,4,536.0,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,5,538.0,CLASSE CE1 B
