REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,KEDOUGOU,BANDAFASSI,BADEMBA,1,142.0,CLASSE CI
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,1,515.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,BANDAFASSI,2,514.0,SALLE DE CLASSE
KEDOUGOU,KEDOUGOU,BANDAFASSI,BAYTILAYE,1,288.0,CLASSE CP
KEDOUGOU,KEDOUGOU,BANDAFASSI,BOUDOUCOUNDI,1,271.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,DIENDJI,1,173.0,CLASSE CP
KEDOUGOU,KEDOUGOU,BANDAFASSI,IBEL,1,377.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,IBEL,2,377.0,SALLE DE CLASSE
KEDOUGOU,KEDOUGOU,BANDAFASSI,ITATO,1,269.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,BANDAFASSI,LAMINIYA,1,368.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,LANDE BAYTIL,1,356.0,CLASSE CM 1
KEDOUGOU,KEDOUGOU,BANDAFASSI,LANDIENI PEULH,1,212.0,CLASSE CE 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,NIANGHE,1,136.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,SAMAL,1,150.0,CLASSE CP
KEDOUGOU,KEDOUGOU,BANDAFASSI,SAMECOUTA,1,581.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,SAMECOUTA,2,140.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,BANDAFASSI,SINTHIOUROUDJI,1,130.0,CLASSE CI
KEDOUGOU,KEDOUGOU,BANDAFASSI,SYLLACOUNDA DIAKHA,1,374.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,TEPEREDIANTOUM,1,88.0,CLASSE CP
KEDOUGOU,KEDOUGOU,BANDAFASSI,THIABEDJI,1,556.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,BANDAFASSI,THIANCOUMALAL,1,100.0,CLASSE CE1
KEDOUGOU,KEDOUGOU,BANDAFASSI,THIOKETIAN,1,236.0,CLASSE CE 2
KEDOUGOU,KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,1,583.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,2,204.0,CLASSE CE1
KEDOUGOU,KEDOUGOU,DIMBOLI,BARA,1,225.0,ABRI PROVISOIRE
KEDOUGOU,KEDOUGOU,DIMBOLI,DIALAYA 2,1,177.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,DIAN HERI,1,188.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,DIMBOLI,1,256.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,DIMBOLI,2,255.0,CLASSE CE2
KEDOUGOU,KEDOUGOU,DIMBOLI,ECOLE BAMBAYA,1,165.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,KAFORI,1,226.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,KAFORI,2,226.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,MALINDA,1,271.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,MALLEME,1,190.0,CLASSE CE2
KEDOUGOU,KEDOUGOU,DIMBOLI,VELINGARA,1,216.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,DINDEFELO,DINDIFELLO,1,442.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,DINDEFELO,DINDIFELLO,2,443.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,DINDEFELO,HAFIA 1,1,357.0,CLASSE CE 2
KEDOUGOU,KEDOUGOU,DINDEFELO,HAFIA 2,1,415.0,CLASSE CE 1
KEDOUGOU,KEDOUGOU,DINDEFELO,PELEL KINDESSA,1,477.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,DINDEFELO,THIANGUE,1,401.0,CLASSE CM 2
KEDOUGOU,KEDOUGOU,DINDEFELO,YAMOUSSA SEGOU,1,464.0,CLASSE CE 1
KEDOUGOU,KEDOUGOU,FONGOLIMBI,FONGOLIMBI,1,451.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,FONGOLIMBI,FONGOLIMBI,2,451.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,FONGOLIMBI,KOBOYE,1,171.0,CLASSE CP
KEDOUGOU,KEDOUGOU,FONGOLIMBI,KOBOYE,2,170.0,CLASSE CE1
KEDOUGOU,KEDOUGOU,FONGOLIMBI,LESFALO,1,210.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,FONGOLIMBI,LESFALO,2,210.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,FONGOLIMBI,MADIHOU,1,182.0,ECOLE CLASSE CM2
KEDOUGOU,KEDOUGOU,FONGOLIMBI,MAROUGOU,1,189.0,CLASSE CP
KEDOUGOU,KEDOUGOU,FONGOLIMBI,NIAGALANCOME,1,264.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,FONGOLIMBI,NIAGALANCOME,2,263.0,CLASSE CM1
KEDOUGOU,KEDOUGOU,FONGOLIMBI,SAMBANGAL,1,73.0,ABRI PROVISOIRE
KEDOUGOU,KEDOUGOU,FONGOLIMBI,TOUMANIA,1,347.0,CLASSE CM2
KEDOUGOU,KEDOUGOU,FONGOLIMBI,WASSAYA,1,61.0,CLASSE CE2
KEDOUGOU,KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,1,563.0,CLASSE CM2B
KEDOUGOU,KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,2,564.0,SALLE DE CLASSE CM2A
KEDOUGOU,KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,1,563.0,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,2,570.0,CLASSE CM2 B
