DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,LATMINGUE,CAMPEMENT,1,485.0,CLASSE CE1
KAOLACK,LATMINGUE,CAMPEMENT,2,485.0,CLASSE CM2
KAOLACK,LATMINGUE,DAGA YOUNDOUM BAMBARA,1,289.0,CLASSE CI
KAOLACK,LATMINGUE,DAGA YOUNDOUM BAMBARA,2,288.0,CLASSE CM1
KAOLACK,LATMINGUE,ECOLE KAWIL,1,423.0,CLASSE CM1
KAOLACK,LATMINGUE,ECOLE KEUR MAMOUR LO,1,235.0,CLASSE CI
KAOLACK,LATMINGUE,ECOLE THIAMENE,1,514.0,CLASSE CM2
KAOLACK,LATMINGUE,FASS,1,371.0,CLASSE CI
KAOLACK,LATMINGUE,KEUR ALI BASSINE,1,269.0,CLASSE CP
KAOLACK,LATMINGUE,KEUR ALI BASSINE,2,269.0,CLASSE CM1
KAOLACK,LATMINGUE,KEUR DIANG,1,436.0,ECOLE ARABE
KAOLACK,LATMINGUE,KEUR OMAR BAMBARA,1,442.0,CLASE CE2
KAOLACK,LATMINGUE,KEUR OMAR BAMBARA,2,442.0,CLASSE CM2
KAOLACK,LATMINGUE,KEUR SANOU,1,452.0,CLASSE CM2
KAOLACK,LATMINGUE,KEUR YORODOU,1,218.0,CLASSE CE1
KAOLACK,LATMINGUE,KEUR YORODOU,2,217.0,CLASSE CM2
KAOLACK,LATMINGUE,KOUMBAL,1,397.0,CLASSE CM2
KAOLACK,LATMINGUE,KOUMBAL,2,396.0,CLASSE CE2
KAOLACK,LATMINGUE,KOUMBAL,3,396.0,CLASSE CP
KAOLACK,LATMINGUE,KOYLAL MOUSSA BOYE,1,408.0,CLASSE CM2
KAOLACK,LATMINGUE,LATMINGUE,1,555.0,CLASSE CM2 B
KAOLACK,LATMINGUE,LATMINGUE,2,554.0,CLASSE CE2A
KAOLACK,LATMINGUE,LATMINGUE,3,554.0,CLASSE CE2B
KAOLACK,LATMINGUE,LATMINGUE,4,554.0,CLASSE CI B
KAOLACK,LATMINGUE,LATMINGUE,5,555.0,CLASSE CI A
KAOLACK,LATMINGUE,SANGUIL SERERE,1,571.0,CLASSE CI
KAOLACK,LATMINGUE,SANGUIL SERERE,2,130.0,CLASSE CM1
KAOLACK,LATMINGUE,THIAKHO MADIALLE,1,578.0,CLASSE CM1
KAOLACK,LATMINGUE,THIAVANDOU,1,332.0,CLASSE CM1
KAOLACK,LATMINGUE,THIAVANDOU,2,332.0,CLASSE CE1
KAOLACK,LATMINGUE,THICAT,1,346.0,CLASSE CM2
KAOLACK,LATMINGUE,THICAT,2,346.0,CLASSE CE2
