DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,DIOULACOLON,BANTANCOUNTOUYEL,1,425.0,CLASSE CE 2
KOLDA,DIOULACOLON,BODEYEL ABDOUL,1,337.0,CLASSE CP
KOLDA,DIOULACOLON,DARSALAM THIERNO,1,411.0,CLASSE CE 1
KOLDA,DIOULACOLON,DIADOUDICOUNDA,1,303.0,CLASSE CP
KOLDA,DIOULACOLON,DIOULACOLON,1,514.0,CLASSE CE 1
KOLDA,DIOULACOLON,DIOULACOLON,2,513.0,CLASSE CM 1
KOLDA,DIOULACOLON,ECOLE GUIRO YERO MANDOU,1,290.0,SALLE DE CLASSE
KOLDA,DIOULACOLON,FARABA,1,540.0,CLASSE CE 2
KOLDA,DIOULACOLON,FARABA,2,75.0,CLASSE CM2
KOLDA,DIOULACOLON,GUIRO YERO ALPHA,1,375.0,CLASSE CP
KOLDA,DIOULACOLON,LINGUETTO,1,401.0,CLASSE CP
KOLDA,DIOULACOLON,SAM-PATHE,1,234.0,CLASSE CE 1
KOLDA,DIOULACOLON,SARE OUMAR,1,255.0,CLASSE CP
KOLDA,DIOULACOLON,SARE SAMBA SANE,1,284.0,CLASSE CP
KOLDA,DIOULACOLON,SARE SAMBOUDIANG,1,348.0,CLASSE CP
KOLDA,DIOULACOLON,SARE YORO-BANA,1,269.0,CLASSE CI
KOLDA,DIOULACOLON,SINTHIANG SAMBA COULIBALY,1,560.0,CLASSE CE 1
KOLDA,DIOULACOLON,SINTHIANG SAMBA COULIBALY,2,559.0,CLASSE CM 1
KOLDA,DIOULACOLON,SINTHIANG SAMBA COULIBALY,3,559.0,SALLE DE CLASSE
