DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,DJIDA THIAROYE KAO,CEM DJIDA THIAROYE KAO,1,589,SALLE 1
PIKINE,DJIDA THIAROYE KAO,CEM DJIDA THIAROYE KAO,2,591,SALLE 2
PIKINE,DJIDA THIAROYE KAO,CEM DJIDA THIAROYE KAO,3,588,SALLE 3
PIKINE,DJIDA THIAROYE KAO,CEM DJIDA THIAROYE KAO,4,586,SALLE 4
PIKINE,DJIDA THIAROYE KAO,CEM DJIDA THIAROYE KAO,5,586,SALLE 5
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,1,567,CLASSE CP A
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,2,570,CLASSE CP B
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,3,572,CLASSE CE2 A
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,4,572,CLASSE DE CI B
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,5,566,CLASSE DE CI A
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,6,561,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 12,7,452,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,1,596,CLASSE DE CM2 B
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,2,596,CLASSE DE CM2 A
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,3,596,CLASSE DE CM1 A
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,4,596,CLASSE DE CM1 B
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,5,596,CLASSE DE CE2 B
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,6,596,CLASSE DE CE2 A
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,7,597,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,8,593,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,9,595,CLASSE DE CI A
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,10,598,CLASSE DE CI B
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,11,594,CLASSE DE CP A
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,12,597,CLASSE DE CP B
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,13,597,CLASSE DE CP C
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,14,596,CLASSE DE CE1A
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,15,597,CLASSE DE CE1 B
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,16,594,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,17,598,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,18,595,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,19,597,ECOLE PERE PIARISTE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,20,598,ECOLE PERE PIARISTE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,21,599,ECOLE PERE PIARISTE
PIKINE,DJIDA THIAROYE KAO,ECOLE 27,22,596,ECOLE PERE PIARISTE
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,1,567,SALLE N° 12
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,2,569,SALLE N° 08
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,3,570,SALLE N° 07
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,4,575,SALLE N° 16
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,5,571,SALLE N° 15
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,6,576,CLASSE CE1 B
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,7,579,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,8,570,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,9,573,SALLE DE CLASSE
PIKINE,DJIDA THIAROYE KAO,ECOLE KHALIFA ABABACAR SY,10,574,SALLE DE CLASSE
